"Anho","Mes","1. Imacec","2. Producción de bienes","2.1. Minería","2.2. Industria","2.3. Resto de bienes","3. Comercio","4. Servicios","5. Imacec a costo de factores","6. Impuestos sobre los productos","7. Imacec no minero","Mes_num","Fecha","IMACEC_SA","Var_m_m_SA","Var_a_a_NSA"
2012,"Abril",87.623528867105,90.657017883249,90.99639371855,91.688162746742,91.867274526003,90.902708119074,86.629318001115,88.408170732557,NA,87.652927805934,4,2012-04-01,2.29838510045624e+37,147.242487289863,6.31671308132757
2012,"Mayo",88.03861747833,90.539299935054,94.222274135565,95.19957960729,85.243442634758,89.735705082838,87.223172045681,88.544991641951,NA,87.649847292985,5,2012-05-01,3.58313252481403e+37,55.8978312251832,6.10888606205762
2012,"Junio",86.063196111227,87.244360282597,92.382307550986,90.408390017364,81.448437539013,84.234540240189,87.074298748384,86.635392567216,NA,85.642108178757,6,2012-06-01,7.26397891848256e+37,102.727051488546,7.08180742868492
2012,"Julio",82.963262681021,84.521078205073,87.412213107718,88.416745320611,80.532017164639,83.378553689357,82.171074080045,82.999422140414,NA,82.803187720994,7,2012-07-01,9.75404523368445e+37,34.2796467768667,7.42963022387522
2012,"Agosto",86.65082638185,88.188078252921,95.142311318336,92.770233017884,79.319272971214,84.044443935663,87.071608290967,86.975332507062,NA,85.908175313643,8,2012-08-01,1.10219715752551e+38,12.9989795125409,7.29290048971325
2012,"Septiembre",82.73009513732,82.880210603355,93.590323922482,80.416991997122,75.305953820334,79.785691504966,83.997561430257,82.930537431251,NA,81.609002853594,9,2012-09-01,1.26894809366024e+38,15.128957192114,5.1604936544672
2012,"Octubre",89.847446247651,91.620760063923,98.20121047737,97.033260839372,82.598209543682,90.171695720939,89.268152582676,90.048873196214,NA,89.144897517262,10,2012-10-01,1.49891553963738e+38,18.1226834356804,6.73408521836447
2012,"Noviembre",91.596476733005,92.418427334574,99.387168525943,94.623088502959,85.51353503251,90.546498717959,92.637797876122,92.114495768824,NA,90.988868331238,11,2012-11-01,1.60695363792733e+38,7.20775089943233,5.95766792207422
2012,"Diciembre",94.690431285772,99.48248771812,105.81858381833,93.937836103877,99.544011807995,111.03385779587,87.103841041686,94.12357004138,NA,93.602158198785,12,2012-12-01,3.5650527340964e+38,121.85162346654,4.00570978999004
2013,"Enero",86.558460018438,98.01131360004,94.723121388067,92.459265480918,106.02565166713,89.326114374799,79.743373312322,87.125861603049,81.553130091025,85.89032690515,1,2013-01-01,2.02261106791173e+38,-43.2656059034598,4.93396277521265
